Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance
0.488349,-1.70664,749.223,-0.0173065,204.83,0.891292,0.85709,0.714415,204.265,0.617256,0.893485,0.00010408,14.2676,27.4846,281,-0.0145387,0.796784,164.779
0.49496,-1.72978,769.224,-0.00312109,210.013,0.903246,0.792524,0.571554,209.101,0.460863,0.904691,7.81902e-05,14.4573,28.0206,275,-0.0097249,0.815025,172.104
0.501929,-1.75289,789.473,-0.00752375,214.756,0.91415,0.726481,0.41376,213.876,0.398339,0.91441,2.59551e-05,14.6286,29.2155,271,-0.00290373,0.835649,180.194
0.509309,-1.77099,805.522,0.0145469,218.349,0.922153,0.675685,0.333549,217.282,0.298014,0.921192,2.55938e-05,14.7567,28.8671,269,-0.0138558,0.848373,185.5
0.517075,-1.79046,823.097,-0.000720075,222.112,0.930433,0.647475,0.254048,221.625,0.240905,0.932524,0,14.8869,30.1465,264,-0.0141689,0.866139,192.889
0.525128,-1.80939,840.276,-0.000226403,225.506,0.937714,0.594348,0.21173,224.432,0.205102,0.937224,0,15.0034,29.277,260,0.0044324,0.879247,198.636
0.533665,-1.82901,858.24,0.00633681,229.092,0.945354,0.525985,0.163219,228.075,0.153765,0.944918,0,15.1257,30.1267,257,-0.0175412,0.893004,204.739
0.542888,-1.8453,873.358,0.0367365,232.036,0.951529,0.485006,0.136756,231.306,0.124391,0.95195,0,15.2245,30.044,255,-0.00828531,0.906171,210.665
0.552658,-1.86026,887.36,0.00893359,234.67,0.957012,0.443514,0.114029,233.749,0.10325,0.95646,0,15.3122,30.6707,252,-0.00262227,0.916148,215.263
0.563059,-1.87441,900.731,0.0228319,237.01,0.961835,0.411344,0.0999838,236.089,0.0839489,0.962175,0,15.3894,31.056,249,0.0162116,0.923838,218.85
0.574062,-1.88712,912.824,-0.0170426,239.18,0.966305,0.378724,0.0811295,238.428,0.0692339,0.967036,0,15.4609,33.0117,243,0.0170867,0.93348,223.344
0.585753,-1.89882,923.987,-0.0197673,241.114,0.970261,0.333939,0.0668293,240.105,0.0589444,0.969621,0,15.5242,33.0234,240,0.0118919,0.941995,227.373
0.598457,-1.9086,933.445,0.0172968,242.657,0.973386,0.324061,0.0611379,241.638,0.0522249,0.972957,0,15.5742,31.9116,239,-0.0241992,0.948097,230.316
0.611633,-1.9193,943.827,-0.0046624,244.301,0.976707,0.299587,0.05386,243.528,0.0404819,0.977329,0,15.6273,32.7341,239,-9.0989e-05,0.954289,233.302
0.625638,-1.92876,953.048,0.00446339,245.779,0.979691,0.272492,0.0449154,244.615,0.0351128,0.978807,0,15.6751,33.2799,236,-0.0185209,0.959943,236.045
0.640659,-1.93941,963.477,-0.00796599,247.417,0.982981,0.238442,0.0360981,246.388,0.0280874,0.982698,0,15.7277,33.2,229,-0.0144691,0.966448,239.221
0.657103,-1.94864,972.566,0.00643825,248.773,0.985693,0.209277,0.0299983,247.958,0.0213052,0.986265,0,15.7711,33.085,226,-0.00262613,0.971897,241.9
