Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance
0.188173,-0.407979,44.488,0.000645128,1.59504,0.0630742,0.0664857,0.108497,3.86642,3.76823,0.0356707,0.16234,2.09502,4.53113,867,-0.00253535,0.0528037,1.12521
0.19732,-0.422609,47.7567,-0.00193706,1.71161,0.065086,0.0792513,0.123749,4.1065,4.09012,0.0363806,0.156224,2.13585,4.72304,846,-0.0010633,0.0545815,1.18691
0.206104,-0.442893,52.3264,-0.00152542,1.69542,0.0646304,0.0896722,0.129038,4.51137,4.40413,0.0383939,0.155261,2.16621,4.86948,814,-0.00108308,0.0531621,1.12926
0.21473,-0.461239,56.526,-0.00278369,1.7701,0.0667631,0.0951771,0.135072,4.90724,4.85283,0.0375066,0.159806,2.18526,5.02892,792,0.00129127,0.0542268,1.18969
0.223454,-0.475681,59.9254,0.0013628,1.73131,0.0654956,0.0998447,0.141481,5.50851,5.28391,0.0391498,0.156042,2.21441,5.24559,771,-0.00271258,0.055299,1.23676
0.232317,-0.492892,64.1916,0.000480871,1.88248,0.0688699,0.107844,0.155248,5.83151,5.71244,0.0368842,0.155196,2.25483,5.57196,745,9.22218e-05,0.0577572,1.34683
0.241183,-0.513428,69.5452,0.00108073,1.84671,0.0675911,0.119918,0.163318,6.44816,6.28042,0.0409659,0.153568,2.28695,5.78559,725,-0.000836589,0.0558496,1.26036
0.249912,-0.529361,73.7603,-0.00109311,1.77342,0.0665831,0.126358,0.159567,7.13718,6.86109,0.0422222,0.154733,2.33077,6.00942,715,0.00178755,0.0564172,1.28518
0.258724,-0.546046,78.4678,0.00196116,1.8237,0.0674511,0.143072,0.170496,8.10896,7.49383,0.0458162,0.158153,2.36095,6.17538,702,-0.00204154,0.0581501,1.33604
0.267296,-0.561891,82.7203,-0.000634485,1.99187,0.0708188,0.135431,0.189234,8.76066,8.15581,0.0461444,0.151354,2.41503,6.31494,691,-0.000916479,0.0577702,1.33116
0.2764,-0.580947,88.3671,-0.00116235,2.01631,0.0707254,0.150298,0.203369,9.60718,8.75607,0.0498374,0.153608,2.4309,6.51233,676,0.000895579,0.0597561,1.43437
0.285335,-0.599721,94.0199,0.000864524,1.9904,0.069912,0.158409,0.210906,10.6037,9.42519,0.053883,0.153809,2.47602,6.73313,664,-0.00259675,0.0620201,1.56788
0.29432,-0.612425,98.0028,0.000457489,1.9969,0.0705204,0.172055,0.213021,12.017,10.3809,0.0608354,0.151413,2.53064,6.80069,644,-0.000857391,0.0597935,1.45611
0.303213,-0.63104,104.078,0.000112156,1.93087,0.0695146,0.196397,0.21037,13.7623,11.1126,0.0725129,0.155968,2.55678,6.95425,629,0.00124333,0.0631922,1.5847
0.311788,-0.651311,110.569,0.00228296,2.12051,0.0722204,0.191786,0.244839,14.8322,11.8076,0.0810605,0.150714,2.6111,7.09347,617,0.00237997,0.0637805,1.61404
0.320711,-0.669954,116.976,-0.00126654,1.99869,0.0695306,0.213245,0.244081,17.2631,12.6356,0.0949729,0.151106,2.64615,7.21173,610,9.04673e-05,0.0636825,1.60383
0.329416,-0.687701,123.298,-0.00037325,2.1548,0.0726164,0.241675,0.265138,19.2183,13.2256,0.109687,0.152209,2.70871,7.33904,598,-0.00153805,0.0630341,1.60004
0.337814,-0.704926,129.353,0.00169559,2.17159,0.0741068,0.244381,0.25866,21.2171,13.8775,0.126758,0.15236,2.77308,7.57542,580,-0.00193553,0.0664318,1.77031
0.346378,-0.716443,133.396,-0.000874486,2.10381,0.0730967,0.239203,0.254923,23.0528,14.3706,0.143488,0.154244,2.79083,7.69276,564,-0.000864841,0.0640593,1.67982
0.355255,-0.734979,140.258,0.000597237,2.32222,0.0761331,0.248384,0.297837,25.6629,14.945,0.162693,0.150981,2.84871,7.75135,552,-0.000284091,0.0669486,1.79641
0.364188,-0.75006,145.937,0.00184453,2.11593,0.0728508,0.25381,0.275792,28.1738,15.1611,0.185606,0.154461,2.88105,8.05083,537,0.000534881,0.0682605,1.87967
0.373249,-0.767539,152.888,-0.00241862,2.15869,0.0732324,0.289017,0.293286,31.6552,15.4211,0.213379,0.155078,2.96836,8.24826,529,0.000901693,0.0691764,1.93525
0.38195,-0.783931,159.225,-0.00138672,2.18332,0.0734701,0.277261,0.306122,34.3267,15.6206,0.240019,0.153984,3.04098,8.65278,515,4.88281e-05,0.0695866,1.95458
0.391041,-0.798631,165.089,-0.000834973,2.24874,0.0745521,0.276637,0.322958,38.1665,15.8537,0.27225,0.158166,3.06925,8.81783,507,0.000171525,0.0731896,2.16322
0.400359,-0.816398,172.483,0.00131067,2.25722,0.0743025,0.297694,0.337855,41.047,15.8345,0.29748,0.155761,3.16003,8.94235,502,-0.000586099,0.0746406,2.24583
0.409556,-0.834493,180.202,-0.0021669,2.2516,0.0744876,0.3236,0.340427,45.694,15.2444,0.34217,0.156587,3.21867,9.04818,493,-0.00179117,0.0752326,2.30377
0.418579,-0.852761,187.938,0.000273666,2.27076,0.0753102,0.310883,0.342743,49.9708,15.0906,0.375285,0.157449,3.30491,9.08284,484,-0.00140091,0.0766915,2.35916
0.427988,-0.869181,195.286,0.00080186,2.35485,0.0766147,0.345111,0.364722,53.6185,14.725,0.407131,0.157796,3.39941,9.14115,477,0.00152643,0.0789558,2.49834
0.437119,-0.884818,202.313,-0.00133189,2.32734,0.0766398,0.361008,0.360048,56.8961,14.5229,0.433491,0.158013,3.47798,9.45191,466,0.00068032,0.0809453,2.66074
0.446237,-0.900682,209.544,0.000788214,2.26291,0.0753552,0.372212,0.361112,61.5645,13.6364,0.47389,0.162834,3.54435,9.67982,458,0.00060778,0.0834937,2.79966
0.455404,-0.915674,216.511,-0.00236589,2.33654,0.0762652,0.386955,0.385976,65.6681,13.2194,0.502502,0.163133,3.65283,9.88379,451,0.00589891,0.0866808,3.01221
0.46458,-0.933281,224.872,-0.00184048,2.34704,0.076329,0.408563,0.397473,69.2949,12.7285,0.533316,0.165338,3.76631,9.86481,445,-0.00140257,0.0872322,3.05234
0.473689,-0.952677,234.224,-0.00152593,2.26991,0.0751362,0.421745,0.390641,73.1465,12.075,0.566586,0.165431,3.85456,9.98618,438,0.00289737,0.0910607,3.3293
0.482831,-0.96578,240.63,-0.00035626,2.23714,0.0741557,0.431481,0.400451,76.8178,11.5785,0.592423,0.167247,3.99389,10.2622,432,-0.00223845,0.092842,3.4419
0.492043,-0.985208,250.366,0.000259362,2.27492,0.0743168,0.455912,0.423669,80.8599,10.8587,0.618856,0.168902,4.13366,10.546,423,-0.000933072,0.0993895,3.97975
0.501176,-0.99938,257.565,0.00240976,2.15519,0.0726838,0.472933,0.402322,83.9897,10.6607,0.635162,0.168632,4.2163,10.796,413,0.000298016,0.102918,4.26149
0.51031,-1.0158,266.071,0.000627328,2.17535,0.073074,0.499491,0.412515,86.9201,10.2085,0.658402,0.171306,4.37223,11.1195,407,-0.00050445,0.108101,4.66984
0.51936,-1.03101,273.968,0.00113025,2.20102,0.0733639,0.498226,0.427517,90.1377,9.9048,0.675683,0.172746,4.52879,11.2067,403,-0.000457864,0.111844,5.00495
0.528582,-1.05043,284.329,-0.00138712,2.06891,0.070743,0.519524,0.416385,93.1453,9.14804,0.697837,0.174821,4.66416,11.4477,397,0.000940689,0.116885,5.45836
0.537773,-1.06782,293.74,0.00105391,2.21952,0.0734356,0.532192,0.451172,96.4916,8.88504,0.712404,0.174711,4.87202,11.6019,390,-0.00269763,0.123946,6.03968
0.547012,-1.08374,302.584,0.0025596,2.00267,0.0703353,0.572858,0.402721,98.9789,8.71475,0.723971,0.175814,5.0685,11.7518,383,-0.00157489,0.135757,7.29317
0.55607,-1.10068,312.012,-0.00359297,1.94944,0.0692519,0.577297,0.401319,102.17,8.28104,0.737483,0.178519,5.25659,12.0855,376,-0.00338737,0.14225,7.96593
0.565242,-1.11831,321.998,-0.000564601,1.96178,0.0696035,0.587187,0.40785,104.369,7.69343,0.753221,0.179517,5.46121,12.312,371,0.000590861,0.151254,8.8609
0.574487,-1.13376,330.876,-0.0012793,1.94521,0.0696191,0.598137,0.404685,106.355,7.54693,0.758403,0.180599,5.62941,12.4401,368,0.00145508,0.160999,10.0183
0.583797,-1.14999,340.359,0.00093099,1.85474,0.067181,0.615127,0.408272,108.792,7.82433,0.760847,0.18224,5.83487,12.4852,363,0.00767253,0.170511,11.1547
0.593126,-1.16483,349.036,0.000409995,1.71793,0.0646081,0.594289,0.385137,110.533,7.37174,0.771598,0.181741,6.01907,12.7578,360,0.0104855,0.180559,12.2226
0.602769,-1.17935,357.7,0.00198068,1.70174,0.0646817,0.595449,0.380174,113.325,6.81191,0.78101,0.18208,6.21118,12.87,353,0.00191585,0.19055,13.4539
0.612559,-1.19519,367.286,0.000152234,1.66358,0.0638377,0.599472,0.379978,114.71,6.83805,0.788419,0.183432,6.40068,12.9466,348,0.0109446,0.203893,15.0159
0.622475,-1.21036,376.497,0.00189315,1.61718,0.0622212,0.567326,0.389721,116.872,7.35223,0.783084,0.183947,6.59972,12.9931,345,0.0011897,0.216834,16.7083
0.632833,-1.2236,384.801,0.00233402,1.54704,0.0612682,0.608921,0.370887,119.962,6.59827,0.796611,0.185814,6.75729,13.173,342,-0.000184777,0.227927,18.3385
0.642997,-1.23734,393.225,0.00205779,1.48146,0.0602361,0.532747,0.355313,120.897,6.4789,0.799863,0.185825,6.92835,13.1952,342,0.000782538,0.238223,19.9348
0.654038,-1.25153,402.222,-0.00137334,1.43036,0.0583282,0.530699,0.365872,122.462,6.26549,0.803787,0.186049,7.09138,13.4296,338,-0.0136945,0.252889,21.7669
0.66529,-1.26596,411.484,9.73318e-05,1.45497,0.059872,0.534145,0.357457,124.636,6.03668,0.807129,0.186358,7.26051,13.8037,334,0.00562578,0.266157,24.2404
0.676699,-1.27966,420.35,0.00435821,1.42492,0.0588778,0.523675,0.363707,126.128,5.60556,0.812204,0.186829,7.40294,14.2016,331,0.00271501,0.266539,24.3263
0.688419,-1.29319,429.168,6.45661e-06,1.36936,0.0579287,0.497139,0.351292,128.134,5.46433,0.815551,0.187061,7.55493,14.5388,326,0.00335421,0.285295,27.6589
0.700656,-1.30659,437.989,-0.00162068,1.28509,0.0561611,0.466145,0.334668,129.531,5.37768,0.824652,0.18704,7.68271,14.6573,321,-0.00322537,0.300139,29.8873
0.713518,-1.31806,445.629,0.00025808,1.23413,0.0547034,0.450329,0.333966,131.13,4.77975,0.832423,0.187169,7.79003,14.9219,313,-0.00240556,0.299389,29.8554
0.726844,-1.32763,452.048,0.000854989,1.20186,0.0543856,0.435001,0.323203,132.729,4.81601,0.834845,0.187271,7.86129,15.2067,310,0.00340406,0.314525,32.4805
0.740656,-1.33907,459.785,0.000836828,1.16788,0.0538696,0.412962,0.314765,134.22,4.62298,0.837369,0.187525,7.98369,15.4893,306,-0.00210312,0.321039,33.78
0.755101,-1.34896,466.553,-0.00157001,1.15796,0.0535866,0.405481,0.319297,134.604,4.50458,0.844355,0.187375,8.04668,16.0224,302,0.00334643,0.32172,34.3262
0.769963,-1.35887,473.344,-0.000410203,1.16813,0.0538298,0.374792,0.328263,135.369,4.32013,0.846599,0.1875,8.12537,16.5019,297,0.0040088,0.333097,36.1898
0.785726,-1.36845,479.988,-0.00199695,1.17768,0.0549129,0.361767,0.318797,136.465,3.87121,0.857432,0.1876,8.19896,16.5208,294,-0.00887357,0.333593,36.5964
0.802098,-1.37766,486.413,0.000228857,1.12407,0.0532297,0.346168,0.319808,138.111,3.79446,0.854976,0.187901,8.28371,16.7615,288,-0.00427932,0.341088,38.3169
0.819184,-1.3863,492.487,-0.000653115,1.11667,0.0527468,0.335578,0.33129,138.096,3.73941,0.86033,0.187749,8.3409,16.9259,283,-0.000174164,0.34895,39.5181
0.836908,-1.39447,498.279,0.00120192,1.14538,0.053596,0.334312,0.343146,138.795,3.07131,0.872743,0.18777,8.3852,17.0918,280,0.00804246,0.345249,39.285
0.855049,-1.40299,504.343,-0.0012526,1.24331,0.0554452,0.320561,0.39018,140.628,3.17373,0.869378,0.187772,8.42448,17.3798,278,-0.00607123,0.354324,41.0079
0.873976,-1.4108,509.922,-0.00234251,1.24721,0.0556214,0.296903,0.397848,140.565,3.09835,0.872061,0.187773,8.45572,17.7041,276,0.00353393,0.359527,42.1523
0.894079,-1.4187,515.608,-0.000354266,1.23534,0.0556509,0.284965,0.395637,141.999,2.86026,0.877844,0.187699,8.50183,17.9955,272,-0.00195468,0.353387,41.219
0.91507,-1.42598,520.896,0.000578473,1.31313,0.0574803,0.287656,0.427624,142.611,2.58002,0.888674,0.187948,8.52682,18.3459,270,-0.0111465,0.360215,42.6526
0.936454,-1.43306,526.053,-0.00201052,1.34076,0.0582245,0.277301,0.442844,142.596,2.24978,0.896068,0.188245,8.55922,18.2104,269,-0.000344395,0.361817,43.0632
0.958742,-1.43913,530.494,0.00206034,1.43997,0.0605453,0.269554,0.480846,143.875,2.05062,0.900636,0.188246,8.56806,18.679,267,0.00354266,0.369574,44.9127
0.981886,-1.44525,534.996,-0.000257353,1.51741,0.0616912,0.269257,0.533291,143.49,1.99933,0.900627,0.188382,8.57774,18.905,265,-0.0166728,0.367904,45.0742
1.0056,-1.45152,539.623,0.000544916,1.63938,0.0643184,0.259814,0.58359,143.284,1.82982,0.907288,0.18848,8.60342,18.8954,261,-0.0098942,0.372355,45.7001
1.03033,-1.45749,544.059,-0.00122507,1.68534,0.0657071,0.261542,0.597675,142.995,1.45416,0.916848,0.188254,8.63073,18.9829,258,-0.00526204,0.374827,46.3207
1.05558,-1.46341,548.473,-0.00292512,1.77294,0.0670888,0.254338,0.655204,144.178,1.44555,0.916381,0.188402,8.64765,19.1851,253,-0.0185806,0.377121,46.7622
1.08181,-1.46928,552.865,-0.000503445,1.86274,0.068875,0.249585,0.701373,144.55,1.37374,0.921623,0.18881,8.64158,19.0776,250,0.00168624,0.375297,47.1275
1.10895,-1.47523,557.332,-5.99578e-06,2.03597,0.072453,0.240206,0.767525,143.245,1.31543,0.919033,0.189035,8.61879,19.6297,248,0.00199959,0.373606,46.7752
1.13731,-1.48078,561.518,-0.00170455,2.15573,0.0745443,0.236173,0.833847,142.658,1.26856,0.925758,0.189157,8.62413,20.4079,245,-0.0101296,0.370173,46.435
1.16664,-1.48604,565.498,-0.00191875,2.27024,0.0764573,0.226741,0.90267,142.064,1.1381,0.931523,0.189461,8.60194,20.8891,238,-0.0144205,0.369342,46.2011
1.19735,-1.49088,569.174,-0.00267952,2.36065,0.0782004,0.221319,0.952047,143.179,0.885417,0.937886,0.189911,8.57642,21.659,234,0.000349633,0.365216,45.1431
1.22924,-1.49542,572.635,-0.00284693,2.54058,0.0809238,0.227584,1.06222,141.944,0.941834,0.938367,0.1901,8.56991,21.9944,233,-0.00792084,0.370245,47.2922
1.26154,-1.49999,576.139,0.00144564,2.5645,0.0817993,0.232012,1.07429,139.837,0.727062,0.943716,0.190656,8.56829,22.3397,231,0.00503566,0.368133,46.325
1.29436,-1.50442,579.546,0.00304222,2.68102,0.0834632,0.242288,1.16194,139.961,0.674401,0.949729,0.191222,8.54625,22.9858,228,0.0171053,0.361961,45.4115
1.32732,-1.5092,583.243,-0.00129606,2.82504,0.0850031,0.273716,1.29454,141.242,0.53858,0.955247,0.191937,8.56675,24.0018,223,0.0029538,0.352563,44.0006
1.35912,-1.51388,586.886,0.00184986,3.00855,0.0869971,0.320708,1.45563,140.849,0.423755,0.9659,0.193534,8.57157,24.568,220,0.016059,0.355858,44.5877
1.3892,-1.51966,591.406,0.00075663,3.07643,0.0867422,0.40096,1.5979,141.379,0.438509,0.967717,0.19521,8.65465,27.0338,214,-0.00704086,0.34305,42.2532
1.41669,-1.52585,596.276,-0.00168665,3.15836,0.0860859,0.501593,1.78674,139.688,0.295736,0.973256,0.19845,8.75794,31.5035,211,0.00128694,0.329043,40.7361
1.44176,-1.53245,601.492,-0.00116497,3.02251,0.0807972,0.625601,1.94824,141.795,0.240584,0.980015,0.202056,8.91638,41.3255,209,0.000531442,0.3311,42.1019
1.46461,-1.5395,607.079,-0.00347289,2.85279,0.0750554,0.732985,2.06607,143.853,0.143297,0.988444,0.206351,9.10349,58.259,207,0.00203739,0.334237,45.4444
1.48605,-1.5471,613.116,-0.000920193,2.55752,0.0673935,0.821922,2.07273,147.942,0.114665,0.98947,0.211462,9.35478,84.6535,204,0.0055821,0.341416,50.4785
1.50659,-1.55487,619.282,-0.00209373,2.32833,0.0597522,0.84806,2.13081,153.008,0.123631,0.989828,0.216843,9.60463,124.25,198,0.0127641,0.370128,60.646
1.5271,-1.56213,625.068,-0.000822528,1.93114,0.0498586,0.852198,1.97722,159.845,0.0885781,0.991841,0.222416,9.87861,175.312,192,-0.0122803,0.405546,74.486
1.54783,-1.56917,630.681,-0.000425915,1.6054,0.0409487,0.799494,1.82046,170.543,0.0541277,0.994548,0.227366,10.1383,235.095,187,-0.0014116,0.453892,90.3596
1.56953,-1.57628,636.354,-0.00276578,1.29737,0.0323691,0.688772,1.61527,183.407,0.0210773,0.998048,0.232826,10.4045,305.435,177,-0.00464725,0.517424,112.24
1.59323,-1.58243,641.259,-0.00062537,0.939675,0.0235761,0.548063,1.27041,196.756,0.0134069,0.999211,0.237677,10.6508,377.971,161,-0.00767079,0.582,133.783
1.6202,-1.58723,645.094,-0.000339406,0.678145,0.0166556,0.409346,0.98367,208.801,0,1,0.241311,10.8487,437.231,140,0.00958667,0.64533,154.363
1.65194,-1.5911,648.191,-0.000639205,0.42534,0.0106565,0.274921,0.654611,217.267,0.000395257,0.999605,0.244615,11.011,492.187,113,0.0213748,0.708974,173.924
1.69143,-1.59416,650.641,-0.000736854,0.260661,0.00626172,0.150117,0.423911,224.302,0,1,0.24709,11.1401,542.082,87,-0.0100015,0.743057,186.094
1.74614,-1.59613,652.213,-0.000248747,0.11927,0.00271779,0.0672477,0.20496,229.625,0,1,0.248673,11.2307,574.298,56,-0.00791077,0.777258,197.1
1.83053,-1.59724,653.109,-0.000282306,0.0270031,0.000681216,0.0178014,0.0492126,233.355,0,1,0.24973,11.2934,594.007,23,-0.00891104,0.809726,206.797
2.00248,-1.59758,653.379,-9.27116e-05,0.00318928,0.000111254,0.00298041,0.00638014,234.164,0.00039557,0.999604,0.249975,11.3103,600.721,13,-0.00331599,0.819463,209.704
