Beta,Energy,Energy Squared,Magnetization,Magnetization Squared,Absolute Magnetization,Specific Heat,Susceptibility,Cluster Size,Non-Wrapping Cluster Size,Wrapping Probability,Dominant Frequency,Dominant Amplitude,Rho T,Unique Families,Overlap,Absolute Overlap,Overlap Variance,Free Energy
0.503977,-1.75776,3166.77,-0.0115208,859.525,0.915764,0.738175,0.390353,853.349,0.308737,0.909393,0,29.3044,24.9011,764,0.00774889,0.838466,-0.702956,350.095
0.506217,-1.76277,3184.82,0.0109441,863.853,0.918104,0.742518,0.35817,857.036,0.295666,0.910879,0,29.3793,24.8957,761,-0.00483751,0.84276,-0.710174,354.134
0.508486,-1.76882,3206.68,-0.000653667,868.829,0.920763,0.736963,0.343779,862.525,0.277257,0.914037,0,29.4644,25.1174,759,0.00172742,0.847916,-0.71889,358.239
0.510781,-1.77434,3226.6,0.00647649,873.142,0.923062,0.715914,0.331316,867.145,0.263594,0.916654,0,29.538,25.0207,759,-0.00770382,0.852395,-0.726506,362.402
0.513109,-1.7801,3247.41,-0.0150226,877.6,0.925445,0.683792,0.306294,872.59,0.244417,0.919921,0,29.6142,25.0111,759,-0.00814263,0.856423,-0.733389,366.641
0.515487,-1.78629,3269.93,0.0102281,882.7,0.928151,0.670152,0.288881,876.563,0.234035,0.921759,0,29.7008,25.0433,757,-0.00406877,0.861655,-0.742375,370.982
0.517908,-1.79083,3286.46,0.00656125,886.116,0.929967,0.653344,0.269425,881.667,0.218531,0.924894,0,29.759,25.1224,753,-0.00476583,0.864687,-0.747609,375.418
0.520372,-1.79626,3306.36,-0.001415,890.589,0.932334,0.640354,0.249776,885.574,0.208422,0.926843,0,29.8347,25.3601,750,-0.00780708,0.869026,-0.755131,379.944
0.522877,-1.80222,3328.2,0.00550826,895.376,0.934855,0.618991,0.234254,889.479,0.198729,0.928832,0,29.9154,25.4929,749,-0.0117592,0.873903,-0.763631,384.558
0.525429,-1.80662,3344.43,0.00952735,898.095,0.936272,0.614381,0.237096,893.903,0.18847,0.931251,0,29.9607,25.4905,746,-0.00114776,0.876477,-0.768135,389.275
